,Unnamed: 0,session,method,gender,emotion,n_annotators,agreement,path
0,0,1,script,F,neu,3,3,Ses05F_impro06_M025
1,1,1,script,F,fru,3,2,Ses05F_impro06_M025
2,2,1,script,F,xxx,0,0,Ses05F_impro06_M025
3,3,1,script,F,sur,3,2,Ses05F_impro06_M025
4,4,1,script,F,neu,3,2,Ses05F_impro06_M025
5,5,1,script,F,xxx,0,0,Ses05F_impro06_M025
6,6,1,script,F,ang,3,2,Ses05F_impro06_M025
7,7,1,script,F,ang,3,2,Ses05F_impro06_M025
8,8,1,script,F,neu,3,2,Ses05F_impro06_M025
9,9,1,script,F,hap,3,2,Ses05F_impro06_M025
10,10,1,script,F,sad,3,2,Ses05F_impro06_M025
11,11,1,script,F,xxx,0,0,Ses05F_impro06_M025
12,12,1,script,F,xxx,0,0,Ses05F_impro06_M025
13,13,1,script,F,xxx,0,0,Ses05F_impro06_M025
14,14,1,script,F,fru,3,2,Ses05F_impro06_M025
15,15,1,script,F,neu,3,2,Ses05F_impro06_M025
16,16,1,script,F,xxx,0,0,Ses05F_impro06_M025
17,17,1,script,F,fru,3,2,Ses05F_impro06_M025
18,18,1,script,F,xxx,0,0,Ses05F_impro06_M025
19,19,1,script,F,fru,3,3,Ses05F_impro06_M025
20,20,1,script,F,xxx,0,0,Ses05F_impro06_M025
21,21,1,script,F,fru,3,2,Ses05F_impro06_M025
22,22,1,script,F,xxx,0,0,Ses05F_impro06_M025
23,23,1,script,F,fru,3,2,Ses05F_impro06_M025
24,24,1,script,F,neu,3,2,Ses05F_impro06_M025
25,25,1,script,F,neu,3,3,Ses05F_impro06_M025
26,26,1,script,F,xxx,0,0,Ses05F_impro06_M025
27,27,1,script,F,xxx,0,0,Ses05F_impro06_M025
28,28,1,script,F,exc,3,2,Ses05F_impro06_M025
29,29,1,script,F,xxx,0,0,Ses05F_impro06_M025
30,30,1,script,F,xxx,0,0,Ses05F_impro06_M025
31,31,1,script,F,xxx,0,0,Ses05F_impro06_M025
32,32,1,script,F,xxx,0,0,Ses05F_impro06_M025
33,33,1,script,F,neu,3,3,Ses05F_impro06_M025
34,34,1,script,F,neu,3,2,Ses05F_impro06_M025
35,35,1,script,F,neu,3,3,Ses05F_impro06_M025
36,36,1,script,F,neu,3,2,Ses05F_impro06_M025
37,37,1,script,F,neu,3,2,Ses05F_impro06_M025
38,38,1,script,F,fru,3,2,Ses05F_impro06_M025
39,39,1,script,F,neu,3,3,Ses05F_impro06_M025
40,40,1,script,F,neu,3,3,Ses05F_impro06_M025
41,41,1,script,F,neu,3,3,Ses05F_impro06_M025
42,42,1,script,F,exc,3,2,Ses05F_impro06_M025
43,43,1,script,F,xxx,0,0,Ses05F_impro06_M025
44,44,1,script,F,fru,3,2,Ses05F_impro06_M025
45,45,1,script,F,xxx,0,0,Ses05F_impro06_M025
46,46,1,script,F,neu,3,2,Ses05F_impro06_M025
47,47,1,script,F,neu,3,2,Ses05F_impro06_M025
48,48,1,script,F,fru,3,2,Ses05F_impro06_M025
49,49,1,script,F,neu,3,2,Ses05F_impro06_M025
50,50,1,script,F,neu,3,3,Ses05F_impro06_M025
51,51,1,script,F,neu,3,3,Ses05F_impro06_M025
52,52,1,script,F,neu,3,2,Ses05F_impro06_M025
53,53,1,script,F,fru,3,2,Ses05F_impro06_M025
54,54,1,script,F,xxx,0,0,Ses05F_impro06_M025
55,55,1,script,F,neu,3,2,Ses05F_impro06_M025
56,56,1,script,F,sur,3,3,Ses05F_impro06_M025
57,57,1,script,F,neu,3,2,Ses05F_impro06_M025
58,58,1,script,F,neu,3,2,Ses05F_impro06_M025
59,59,1,script,F,neu,3,3,Ses05F_impro06_M025
60,60,1,script,F,neu,3,3,Ses05F_impro06_M025
61,61,1,script,F,exc,3,2,Ses05F_impro06_M025
62,62,1,script,F,hap,3,3,Ses05F_impro06_M025
63,63,1,script,F,xxx,0,0,Ses05F_impro06_M025
64,64,1,script,F,exc,3,2,Ses05F_impro06_M025
65,65,1,script,F,xxx,0,0,Ses05F_impro06_M025
66,66,1,script,F,exc,3,2,Ses05F_impro06_M025
67,67,1,script,F,xxx,0,0,Ses05F_impro06_M025
68,68,1,script,F,xxx,0,0,Ses05F_impro06_M025
69,69,1,script,F,hap,3,3,Ses05F_impro06_M025
70,70,1,script,F,hap,3,2,Ses05F_impro06_M025
71,71,1,impro,F,neu,4,3,Ses05F_impro06_M025
72,72,1,impro,F,neu,4,3,Ses05F_impro06_M025
73,73,1,impro,F,fru,4,2,Ses05F_impro06_M025
74,74,1,impro,F,xxx,0,0,Ses05F_impro06_M025
75,75,1,impro,F,xxx,0,0,Ses05F_impro06_M025
76,76,1,impro,F,neu,4,3,Ses05F_impro06_M025
77,77,1,impro,F,neu,4,3,Ses05F_impro06_M025
78,78,1,impro,F,fru,4,2,Ses05F_impro06_M025
79,79,1,impro,F,xxx,0,0,Ses05F_impro06_M025
80,80,1,impro,F,neu,4,2,Ses05F_impro06_M025
81,81,1,impro,F,xxx,0,0,Ses05F_impro06_M025
82,82,1,impro,F,xxx,0,0,Ses05F_impro06_M025
83,83,1,impro,F,xxx,0,0,Ses05F_impro06_M025
84,84,1,impro,F,neu,4,2,Ses05F_impro06_M025
85,85,1,impro,F,neu,4,2,Ses05F_impro06_M025
86,86,1,impro,F,xxx,0,0,Ses05F_impro06_M025
87,87,1,impro,F,fru,4,4,Ses05F_impro06_M025
88,88,1,impro,F,fru,4,3,Ses05F_impro06_M025
89,89,1,impro,F,fru,4,2,Ses05F_impro06_M025
90,90,1,impro,F,fru,4,3,Ses05F_impro06_M025
91,91,1,impro,F,xxx,0,0,Ses05F_impro06_M025
92,92,1,impro,F,fru,4,2,Ses05F_impro06_M025
93,93,1,impro,F,fru,4,2,Ses05F_impro06_M025
94,94,1,impro,F,fru,4,3,Ses05F_impro06_M025
95,95,1,impro,F,fru,4,2,Ses05F_impro06_M025
96,96,1,impro,F,fru,4,3,Ses05F_impro06_M025
97,97,1,impro,F,fru,4,2,Ses05F_impro06_M025
98,98,1,impro,F,fru,4,2,Ses05F_impro06_M025
99,99,1,impro,F,ang,4,3,Ses05F_impro06_M025
100,100,1,impro,F,ang,4,3,Ses05F_impro06_M025
101,101,1,impro,F,ang,4,4,Ses05F_impro06_M025
102,102,1,impro,F,ang,4,4,Ses05F_impro06_M025
103,103,1,impro,F,ang,4,3,Ses05F_impro06_M025
104,104,1,impro,F,ang,4,4,Ses05F_impro06_M025
105,105,1,impro,F,neu,4,4,Ses05F_impro06_M025
106,106,1,impro,F,neu,4,4,Ses05F_impro06_M025
107,107,1,impro,F,neu,4,4,Ses05F_impro06_M025
108,108,1,impro,F,neu,4,4,Ses05F_impro06_M025
109,109,1,impro,F,neu,4,4,Ses05F_impro06_M025
110,110,1,impro,F,neu,4,4,Ses05F_impro06_M025
111,111,1,impro,F,neu,4,4,Ses05F_impro06_M025
112,112,1,impro,F,neu,4,2,Ses05F_impro06_M025
113,113,1,impro,F,neu,4,4,Ses05F_impro06_M025
114,114,1,impro,F,neu,4,4,Ses05F_impro06_M025
115,115,1,impro,F,neu,4,4,Ses05F_impro06_M025
116,116,1,impro,F,neu,4,4,Ses05F_impro06_M025
117,117,1,impro,F,neu,4,4,Ses05F_impro06_M025
118,118,1,impro,F,neu,4,4,Ses05F_impro06_M025
119,119,1,impro,F,neu,4,4,Ses05F_impro06_M025
120,120,1,impro,F,neu,4,4,Ses05F_impro06_M025
121,121,1,impro,F,neu,4,4,Ses05F_impro06_M025
122,122,1,impro,F,neu,4,3,Ses05F_impro06_M025
123,123,1,impro,F,neu,4,4,Ses05F_impro06_M025
124,124,1,impro,F,neu,4,4,Ses05F_impro06_M025
125,125,1,impro,F,neu,4,3,Ses05F_impro06_M025
126,126,1,impro,F,neu,4,4,Ses05F_impro06_M025
127,127,1,impro,F,neu,4,4,Ses05F_impro06_M025
128,128,1,impro,F,neu,4,4,Ses05F_impro06_M025
129,129,1,impro,F,neu,4,3,Ses05F_impro06_M025
130,130,1,impro,F,neu,4,3,Ses05F_impro06_M025
131,131,1,impro,F,neu,4,3,Ses05F_impro06_M025
